WKT,name,description,nome,latitudine,longitudine
"GEOMETRYCOLLECTION (POLYGON ((9.4183594 45.4983835, 9.4182557 45.4985625, 9.4177837 45.4984178, 9.4178507 45.4983237, 9.4181484 45.4982974, 9.4183594 45.4983835)), POLYGON ((9.4183594 45.4983835, 9.4183603 45.498382, 9.4186162 45.4982058, 9.4185588 45.4982617, 9.4183603 45.4983839, 9.4183594 45.4983835)), POLYGON ((9.4186162 45.4982058, 9.4186554 45.4981677, 9.4185991 45.4981132, 9.4186125 45.498038, 9.4186876 45.4979665, 9.41876 45.4978105, 9.4189907 45.4977842, 9.4187251 45.4980624, 9.4188673 45.4981564, 9.4193045 45.4985061, 9.4192052 45.49857, 9.4189397 45.4984591, 9.4189531 45.4984328, 9.4186607 45.4981752, 9.4186162 45.4982058)))",Melzo Arcadia,,,,
POINT (9.133681 45.448886 0.0),Mercato Lorenteggio,May get kicked off,,45.448886,9.133681
"POLYGON ((9.133415 45.448788, 9.133667 45.448417, 9.13404 45.448535, 9.133782 45.448902, 9.133415 45.448788))",Mercato Lorenteggio,May get kicked off,,45.448788,9.133415
POINT (9.2820307 45.5817905),Monza Sobborghi,,,45.5817905,9.2820307
"GEOMETRYCOLLECTION (POLYGON ((9.2822849 45.5816532, 9.2820495 45.5818036, 9.2815533 45.5818824, 9.2815507 45.5818205, 9.2818216 45.5817792, 9.2818296 45.5817229, 9.2820951 45.5817736, 9.2822849 45.5816532)), POLYGON ((9.2823124 45.581614, 9.2823204 45.5814563, 9.2824358 45.5814488, 9.2825109 45.5816102, 9.2824841 45.5816609, 9.2823258 45.5816271, 9.282323 45.5816289, 9.2823124 45.581614)))",Monza Sobborghi,,,,
POINT (9.1841838 45.4777308),Moscova,,,45.4777308,9.1841838
"POLYGON ((9.184139 45.477736, 9.184117 45.47768, 9.184243 45.477656, 9.184269 45.477713, 9.184139 45.477736))",Moscova,,,45.477736,9.184139
POINT (9.21909 45.537156 0.0),MultiMedica,,,45.537156,9.21909
"GEOMETRYCOLLECTION (LINESTRING (9.219107 45.537052 0.0, 9.219162 45.537156 0.0, 9.219107 45.537052 0.0), POLYGON ((9.219087 45.537013, 9.219215 45.536978, 9.219239 45.53702, 9.219107 45.537052, 9.219087 45.537013)), POLYGON ((9.219765 45.536816, 9.219803 45.536818, 9.219797 45.536904, 9.219902 45.53691, 9.219822 45.537122, 9.219717 45.536968, 9.21976 45.536895, 9.219765 45.536816)), POLYGON ((9.218593 45.537312, 9.218647 45.537406, 9.218604 45.537417, 9.21858 45.537366, 9.217737 45.537603, 9.217855 45.537826, 9.217812 45.537838, 9.217646 45.537528, 9.217694 45.537515, 9.217721 45.537562, 9.218553 45.53733, 9.218247 45.536778, 9.218293 45.536765, 9.218593 45.537312)))",MultiMedica,,,,
POINT (9.102614 45.45978 0.0),Muretti Iqbal,,,45.45978,9.102614
