WKT,name,description,latitudine,longitudine
"POLYGON ((9.202057 45.513827, 9.202201 45.513786, 9.202349 45.514054, 9.20221 45.514091, 9.202057 45.513827))",Muri Bianchi Bicocca,,45.513827,9.202057
POINT (9.1149175 45.4385825),Muri Bianchi Corsico,Sequence of walls.,45.4385825,9.1149175
"POLYGON ((9.115004 45.43865, 9.114783 45.438584, 9.114823 45.438522, 9.115048 45.438591, 9.115004 45.43865))",Muri Bianchi Corsico,,45.43865,9.115004
POINT (9.218988 45.540478 0.0),Muri Bianchi Fulvio Testi,,45.540478,9.218988
"POLYGON ((9.218718 45.540467, 9.218716 45.540474, 9.218671 45.540406, 9.218778 45.540397, 9.218762 45.540354, 9.218993 45.540358, 9.218998 45.540315, 9.21916 45.540326, 9.219202 45.540388, 9.219192 45.54047, 9.218951 45.540463, 9.218861 45.54045, 9.218763 45.540451, 9.218718 45.540467))",Muri Bianchi Fulvio Testi,,45.540467,9.218718
POINT (9.073238 45.467327 0.0),Muri Bianchi Villaggio Cavour,A lot of small kids around in the afternoon,45.467327,9.073238
"POLYGON ((9.073266 45.467329, 9.073196 45.467299, 9.073182 45.467271, 9.073215 45.467257, 9.073266 45.467258, 9.073324 45.467271, 9.073296 45.467337, 9.073266 45.467329))",Muri Bianchi Villaggio Cavour,A lot of small kids around in the afternoon,45.467329,9.073266
POINT (9.198963 45.480519 0.0),Muri Viola Repubblica,,45.480519,9.198963
"GEOMETRYCOLLECTION (LINESTRING (9.199225 45.480442 0.0, 9.198881 45.480594 0.0, 9.199225 45.480442 0.0), POLYGON ((9.19915 45.480374, 9.19921 45.480344, 9.199286 45.480415, 9.199225 45.480442, 9.19915 45.480374)), POLYGON ((9.198881 45.480594, 9.198628 45.480705, 9.19854 45.480621, 9.198671 45.480559, 9.19876 45.480647, 9.198881 45.480594)))",Muri Viola Repubblica,,,
POINT (9.188441 45.514001 0.0),Niguarda,,45.514001,9.188441
"POLYGON ((9.188083 45.513752, 9.188483 45.513812, 9.188442 45.513933, 9.18885 45.513991, 9.188764 45.514202, 9.188571 45.514175, 9.188606 45.514051, 9.188156 45.513985, 9.18819 45.513812, 9.188075 45.513788, 9.188083 45.513752))",Niguarda,,45.513752,9.188083
POINT (9.221158 45.536418 0.0),Panchine Sesto,,45.536418,9.221158
"POLYGON ((9.220944 45.536193, 9.221008 45.536199, 9.22112 45.536306, 9.221052 45.536362, 9.221056 45.536415, 9.221028 45.536435, 9.220954 45.536443, 9.220826 45.536426, 9.220826 45.536368, 9.220984 45.536363, 9.220887 45.536266, 9.2209 45.536209, 9.220944 45.536193))",Panchine Sesto,,45.536193,9.220944
POINT (9.176065 45.42731 0.0),Parcheggio Carrefour Abbiategrasso,,45.42731,9.176065
"POLYGON ((9.175049 45.427219, 9.175043 45.427122, 9.175296 45.42712, 9.175301 45.427154, 9.17573 45.427154, 9.175727 45.42712, 9.176956 45.427135, 9.176948 45.42757, 9.176551 45.427562, 9.176562 45.42718, 9.175786 45.427182, 9.175789 45.427253, 9.175666 45.427255, 9.175663 45.427206, 9.175049 45.427219))",Parcheggio Carrefour Abbiategrasso,,45.427219,9.175049
POINT (9.114593 45.491182 0.0),Parco dei Triangoli,Running pres only.,45.491182,9.114593
"POLYGON ((9.113866 45.491599, 9.113818 45.491537, 9.114523 45.491229, 9.114569 45.491094, 9.114662 45.490772, 9.114526 45.490748, 9.114534 45.490714, 9.115033 45.490798, 9.11495 45.490994, 9.114703 45.490952, 9.114743 45.490791, 9.11467 45.490776, 9.114536 45.491242, 9.114257 45.49136, 9.114303 45.491408, 9.113866 45.491599))",Parco dei Triangoli,,45.491599,9.113866
POINT (9.1094005 45.5443003),Parco MLK,,45.5443003,9.1094005
"POLYGON ((9.109283 45.544411, 9.109031 45.54441, 9.109047 45.54434, 9.109096 45.544264, 9.109174 45.544199, 9.109259 45.544146, 9.109336 45.544118, 9.109395 45.5441, 9.109472 45.544256, 9.109381 45.544302, 9.10932 45.544342, 9.109299 45.54437, 9.109283 45.544411))",Parco MLK,,45.544411,9.109283
POINT (9.069157 45.450964 0.0),Piazza di Muggiano,,45.450964,9.069157
"POLYGON ((9.068672 45.450716, 9.068847 45.45053, 9.069431 45.450743, 9.069268 45.450944, 9.068672 45.450716))",Piazza di Muggiano,,45.450716,9.068672
POINT (9.057924 45.482138 0.0),Piazza di Settimo,,45.482138,9.057924
"POLYGON ((9.058301 45.482221, 9.057834 45.482033, 9.058698 45.481021, 9.059192 45.481247, 9.058301 45.482221))",Piazza di Settimo,,45.482221,9.058301
POINT (9.098693 45.426576 0.0),Piazza Europa Corsico,,45.426576,9.098693
"GEOMETRYCOLLECTION (POLYGON ((9.09861 45.426958, 9.098278 45.426871, 9.098421 45.426613, 9.098747 45.426713, 9.09861 45.426958)), POLYGON ((9.098474 45.42652, 9.098661 45.42618, 9.098999 45.426271, 9.098914 45.426419, 9.098777 45.426382, 9.098822 45.426271, 9.098635 45.42623, 9.098474 45.42652)))",Piazza Europa Corsico,,,
POINT (9.2245647 45.4781353),Piazza Leonardo da Vinci,,45.4781353,9.2245647
"POLYGON ((9.224551 45.478228, 9.224318 45.478185, 9.224317 45.478105, 9.224547 45.47805, 9.224551 45.478228))",Piazza Leonardo da Vinci,,45.478228,9.224551
POINT (9.225848 45.480364 0.0),Piola,,45.480364,9.225848
"POLYGON ((9.225234 45.480348, 9.225223 45.480149, 9.226613 45.480164, 9.226602 45.480348, 9.225234 45.480348))",Piola,,45.480348,9.225234
"POLYGON ((9.12973 45.492688, 9.129741 45.492597, 9.130236 45.492648, 9.13022 45.492741, 9.12973 45.492688))",Ponte Monte Stella,,45.492688,9.12973
POINT (9.1467057 45.4890483),Portello,There's rails on top of the walls.,45.4890483,9.1467057
"POLYGON ((9.146574 45.48891, 9.146845 45.488998, 9.146738 45.489165, 9.146574 45.48891))",Portello,,45.48891,9.146574
POINT (9.1618328 45.442849),Romolo 3,,45.442849,9.1618328
"POLYGON ((9.161294 45.442718, 9.161833 45.442308, 9.162412 45.442684, 9.16179 45.443155, 9.161592 45.442796, 9.161538 45.442758, 9.161294 45.442718))",Romolo 3,,45.442718,9.161294
POINT (9.2029974 45.4662103),San Babila,Some walls along the street.,45.4662103,9.2029974
"POLYGON ((9.2006 45.465916, 9.200594 45.465747, 9.201259 45.465833, 9.20385 45.46633, 9.205776 45.46645, 9.205771 45.466601, 9.204682 45.46654, 9.203303 45.466428, 9.202649 45.466307, 9.2006 45.465916))",San Babila,,45.465916,9.2006
POINT (9.1029746 45.5026857),San Leonardo 2,Cool spot for run pres and creative lines.,45.5026857,9.1029746
